Türü;Net Metrekare;Brüt Metrekare;Oda Sayısı;Binanın Yaşı;Binanın Kat Sayısı;Isıtma Tipi;Kullanım Durumu;Site İçerisinde;Banyo Sayısı;Fiyat;İl;İlçe;Mahalle
Konut;90 m²;100 m²;3+1;11-15;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.500.000;İstanbul;Pendik;Dumlupınar Mahallesi
Konut;110 m²;120 m²;3+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;2;6.250.000;İstanbul;Çekmeköy;Cumhuriyet Mahallesi
Konut;115 m²;155 m²;3+1;5-10;5;Merkezi (Pay Ölçer);Kiracı Oturuyor;Evet;2;16.000.000;İstanbul;Bakırköy;Osmaniye Mahallesi
Konut;91 m²;134 m²;2+1;5-10;20;Merkezi (Pay Ölçer);Boş;Evet;2;7.100.000;İstanbul;Gaziosmanpaşa;Karadeniz Mahallesi
Konut;45 m²;60 m²;1+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;3.240.000;İstanbul;Kağıthane;Çağlayan Mahallesi
Konut;160 m²;180 m²;4+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;2;8.500.000;İstanbul;Kağıthane;Gültepe Mahallesi
Konut;80 m²;90 m²;2+1;5-10;4;Kombi Doğalgaz;Boş;Hayır;1;3.930.000;İstanbul;Kağıthane;Şirintepe Mahallesi
Konut;90 m²;100 m²;2+1;0 (Yeni);7;Kombi Doğalgaz;Boş;Hayır;2;5.450.000;İstanbul;Çekmeköy;Mimar Sinan Mahallesi
Konut;82 m²;85 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;4.750.000;İstanbul;Bayrampaşa;Terazidere Mahallesi
Konut;115 m²;125 m²;3+1;1;4;Kombi Doğalgaz;Boş;Hayır;1;3.850.000;İstanbul;Başakşehir;Altınşehir Mahallesi
Konut;140 m²;150 m²;3+1;21 Ve Üzeri;6;Kombi Doğalgaz;Boş;Hayır;1;3.000.000;İstanbul;Avcılar;Denizköşkler Mahallesi
Konut;130 m²;150 m²;3+1;21 Ve Üzeri;6;Kombi Doğalgaz;Kiracı Oturuyor;Evet;1;2.550.000;İstanbul;Avcılar;Denizköşkler Mahallesi
Konut;65 m²;75 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;2.350.000;İstanbul;Güngören;Akıncılar Mahallesi
Konut;110 m²;120 m²;3+1;11-15;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;5.000.000;İstanbul;Bağcılar;Fevzi Çakmak Mahallesi
Konut;110 m²;120 m²;3+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;3.850.000;İstanbul;Arnavutköy;Nenehatun Mahallesi
Konut;55 m²;60 m²;2+1;5-10;3;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;4.800.000;İstanbul;Maltepe;Aydınevler Mahallesi
Konut;100 m²;110 m²;3+1;11-15;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.650.000;İstanbul;Sultangazi;Gazi Mahallesi
Konut;62 m²;85 m²;1+1;0 (Yeni);7;Kombi Doğalgaz;Boş;Hayır;1;13.350.000;İstanbul;Kadıköy;Suadiye Mahallesi
Konut;55 m²;60 m²;1+1;21 Ve Üzeri;5;Kombi Doğalgaz;Boş;Hayır;1;3.750.000;İstanbul;Beşiktaş;Dikilitaş Mahallesi
Konut;85 m²;95 m²;2+1;1;5;Kombi Doğalgaz;Boş;Hayır;1;3.700.000;İstanbul;Çekmeköy;Aydınlar Mahallesi
Konut;100 m²;110 m²;2+1;21 Ve Üzeri;7;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.600.000;İstanbul;Fatih;Derviş Ali Mahallesi
Konut;75 m²;85 m²;2+1;16-20;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.000.000;İstanbul;Bahçelievler;Hürriyet Mahallesi
Konut;70 m²;77 m²;1+1;21 Ve Üzeri;5;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;2.600.000;İstanbul;Şişli;Eskişehir Mahallesi
Konut;85 m²;95 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Boş;Hayır;1;2.100.000;İstanbul;Sultangazi;Sultançiftliği Mahallesi
Konut;136 m²;186 m²;3+1;5-10;21;Merkezi (Pay Ölçer);Kiracı Oturuyor;Evet;2;17.500.000;İstanbul;Eyüpsultan;5. Levent Mahallesi
Konut;97 m²;105 m²;2+1;11-15;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.600.000;İstanbul;Bağcılar;Demirkapı Mahallesi
Konut;180 m²;205 m²;5+1;21 Ve Üzeri;11;Merkezi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;3;27.000.000;İstanbul;Kadıköy;Göztepe Mahallesi
Konut;110 m²;130 m²;3+1;5-10;3;Kombi Doğalgaz;Boş;Hayır;2;3.485.000;İstanbul;Sancaktepe;Fatih Mahallesi
Konut;100 m²;120 m²;3+1;21 Ve Üzeri;9;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;4.750.000;İstanbul;Kartal;Uğur Mumcu Mahallesi
Konut;96 m²;110 m²;3+1;5-10;4;Kombi Doğalgaz;Boş;Hayır;2;4.180.000;İstanbul;Sancaktepe;Mevlana Mahallesi
Konut;160 m²;170 m²;3+1;16-20;5;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;6.200.000;İstanbul;Küçükçekmece;Cennet Mahallesi
Konut;115 m²;120 m²;2+1;2;6;Kombi Doğalgaz;Boş;Hayır;1;2.239.999;İstanbul;Esenyurt;Üçevler Mahallesi
Konut;110 m²;120 m²;3+1;21 Ve Üzeri;5;Kombi Doğalgaz;Boş;Hayır;1;2.365.000;İstanbul;Bağcılar;15 Temmuz Mahallesi
Konut;95 m²;110 m²;2+1;5-10;22;Kombi Doğalgaz;Boş;Evet;2;2.785.000;İstanbul;Esenyurt;Yeşilkent Mahallesi
Konut;100 m²;110 m²;2+1;5-10;22;Kombi Doğalgaz;Boş;Hayır;1;1.898.000;İstanbul;Beylikdüzü;Cumhuriyet Mahallesi
Konut;130 m²;145 m²;3+1;5-10;9;Kombi Doğalgaz;Boş;Hayır;2;5.280.000;İstanbul;Beylikdüzü;Barış Mahallesi
Konut;85 m²;90 m²;2+1;4;3;Kombi Doğalgaz;Boş;Hayır;1;3.800.000;İstanbul;Küçükçekmece;Sultan Murat Mahallesi
Konut;100 m²;110 m²;2+1;2;4;Kombi Doğalgaz;Boş;Hayır;2;1.149.000;İstanbul;Esenyurt;Yeşilkent Mahallesi
Konut;80 m²;85 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;6.300.000;İstanbul;Bağcılar;Kirazlı Mahallesi
Konut;90 m²;100 m²;2+1;5-10;4;Kombi Doğalgaz;Boş;Hayır;2;2.550.000;İstanbul;Esenyurt;Mehterçeşme Mahallesi
Konut;200 m²;220 m²;4+2;3;5;Kombi Doğalgaz;Boş;Evet;2;6.290.000;İstanbul;Beylikdüzü;Cumhuriyet Mahallesi
Konut;90 m²;100 m²;2+1;5-10;4;Kombi Doğalgaz;Boş;Hayır;2;2.550.000;İstanbul;Esenyurt;Mehterçeşme Mahallesi
Konut;65 m²;80 m²;2+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;6.050.000;İstanbul;Maltepe;Küçükyalı Mahallesi
Konut;90 m²;100 m²;2+1;4;5;Kombi Doğalgaz;Boş;Hayır;1;2.800.000;İstanbul;Esenyurt;Güzelyurt Mahallesi
Konut;70 m²;80 m²;2+1;5-10;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.350.000;İstanbul;Esenyurt;Turgut Özal Mahallesi
Konut;100 m²;110 m²;2+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;2.950.000;İstanbul;Esenyurt;Üçevler Mahallesi
Konut;150 m²;170 m²;4+2;5-10;5;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;2;5.500.000;İstanbul;Beylikdüzü;Yakuplu Mahallesi
Konut;85 m²;90 m²;2+1;5-10;5;Kombi Doğalgaz;Boş;Hayır;2;5.495.000;İstanbul;Küçükçekmece;Cennet Mahallesi
Konut;70 m²;80 m²;2+1;21 Ve Üzeri;6;Kombi Doğalgaz;Boş;Hayır;1;2.400.000;İstanbul;Bahçelievler;Hürriyet Mahallesi
Konut;100 m²;140 m²;4+2;4;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;6.000.000;İstanbul;Sultangazi;İsmetpaşa Mahallesi
Konut;110 m²;120 m²;2+1;5-10;5;Kombi Doğalgaz;Boş;Hayır;1;2.950.000;İstanbul;Beylikdüzü;Gürpınar Mahallesi
Konut;80 m²;85 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;1.750.000;İstanbul;Güngören;Akıncılar Mahallesi
Konut;40 m²;55 m²;1+1;21 Ve Üzeri;3;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.665.000;İstanbul;Fatih;Topkapı Mahallesi
Konut;85 m²;115 m²;2+1;2;12;Merkezi (Pay Ölçer);Boş;Hayır;2;14.000.000;İstanbul;Kağıthane;Hamidiye Mahallesi
Konut;90 m²;110 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.400.000;İstanbul;Beylikdüzü;Dereağzı Mahallesi
Konut;125 m²;150 m²;3+1;16-20;7;Yerden Isıtma;Boş;Evet;2;12.250.000;İstanbul;Ümraniye;Necip Fazıl Mahallesi
Konut;80 m²;85 m²;2+1;5-10;5;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;2.300.000;İstanbul;Bayrampaşa;Terazidere Mahallesi
Konut;115 m²;130 m²;3+1;3;13;Merkezi (Pay Ölçer);Boş;Evet;2;24.000.000;İstanbul;Kağıthane;Seyrantepe Mahallesi
Konut;90 m²;110 m²;3+1;11-15;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;4.250.000;İstanbul;Sancaktepe;İnönü Mahallesi
Konut;67 m²;85 m²;2+1;5-10;5;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;2.650.000;İstanbul;Küçükçekmece;Cumhuriyet Mahallesi
Konut;80 m²;85 m²;2+1;5-10;4;Kombi Doğalgaz;Boş;Hayır;1;3.930.000;İstanbul;Bahçelievler;Hürriyet Mahallesi
Konut;70 m²;75 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Boş;Hayır;1;1.850.000;İstanbul;Bahçelievler;Zafer Mahallesi
Konut;180 m²;200 m²;4+2;21 Ve Üzeri;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;8.000.000;İstanbul;Fatih;Aksaray Mahallesi
Konut;70 m²;80 m²;2+1;2;5;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;5.950.000;İstanbul;Kartal;Petroliş Mahallesi
Konut;80 m²;90 m²;2+1;1;11;Merkezi (Pay Ölçer);Boş;Evet;1;5.190.000;İstanbul;Kartal;Yakacık Yeni Mahallesi
Konut;190 m²;200 m²;5+1;21 Ve Üzeri;6;Klimalı;Boş;Hayır;2;2.850.000;İstanbul;Bahçelievler;Bahçelievler Mahallesi
Konut;90 m²;110 m²;2+1;5-10;5;Kombi Doğalgaz;Boş;Hayır;1;1.450.000;İstanbul;Esenyurt;Bağlarçeşme Mahallesi
Konut;80 m²;95 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;3.750.000;İstanbul;Sultanbeyli;Mimar Sinan Mahallesi
Konut;100 m²;110 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;2.650.000;İstanbul;Bağcılar;Yıldıztepe Mahallesi
Konut;75 m²;85 m²;2+1;21 Ve Üzeri;3;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;1.490.000;İstanbul;Küçükçekmece;Tevfik Bey Mahallesi
Konut;65 m²;75 m²;1+1;21 Ve Üzeri;4;Kombi Doğalgaz;Boş;Hayır;1;4.250.000;İstanbul;Beşiktaş;Mecidiye Mahallesi
Konut;115 m²;120 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Evet;1;1.820.000;İstanbul;Silivri;Mimar Sinan Mahallesi
Konut;75 m²;100 m²;2+1;5-10;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.395.000;İstanbul;Avcılar;Cihangir Mahallesi
Konut;65 m²;90 m²;2+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;6.600.000;İstanbul;Maltepe;Altıntepe Mahallesi
Konut;200 m²;260 m²;4+2;0 (Yeni);3;Kombi Doğalgaz;Boş;Evet;2;6.500.000;İstanbul;Beylikdüzü;Kavaklı Mahallesi
Konut;110 m²;121 m²;3+1;21 Ve Üzeri;3;Isıtma Yok;Boş;Hayır;1;2.500.000;İstanbul;Bağcılar;Mahmutbey Mahallesi
Konut;70 m²;90 m²;2+1;3;7;Merkezi (Pay Ölçer);Boş;Evet;1;14.250.000;İstanbul;Kadıköy;Suadiye Mahallesi
Konut;90 m²;105 m²;2+1;5-10;11;Merkezi (Pay Ölçer);Boş;Hayır;2;16.450.000;İstanbul;Kadıköy;Caddebostan Mahallesi
Konut;95 m²;100 m²;2+1;11-15;4;Kombi Doğalgaz;Boş;Hayır;1;3.650.000;İstanbul;Avcılar;Ambarlı Mahallesi
Konut;135 m²;145 m²;3+1;1;5;Kombi Doğalgaz;Boş;Hayır;2;3.550.000;İstanbul;Esenyurt;İncirtepe Mahallesi
Konut;75 m²;85 m²;2+1;0 (Yeni);3;Kombi Doğalgaz;Boş;Hayır;1;4.150.000;İstanbul;Güngören;Gençosman Mahallesi
Konut;70 m²;75 m²;1+1;0 (Yeni);6;Kombi Doğalgaz;Boş;Hayır;1;2.124.000;İstanbul;Beylikdüzü;Yakuplu Mahallesi
Konut;85 m²;102 m²;2+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;2.650.000;İstanbul;Silivri;Değirmenköy Fevzipaşa Mahallesi
Konut;87 m²;95 m²;3+1;5-10;4;Kombi Doğalgaz;Boş;Hayır;1;2.940.000;İstanbul;Beylikdüzü;Yakuplu Mahallesi
Konut;100 m²;120 m²;2+1;5-10;5;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;2.380.000;İstanbul;Sancaktepe;Osmangazi Mahallesi
Konut;100 m²;125 m²;3+1;21 Ve Üzeri;4;Kombi Doğalgaz;Boş;Hayır;2;7.900.000;İstanbul;Kadıköy;Bostancı Mahallesi
Konut;90 m²;95 m²;2+1;5-10;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;4.198.000;İstanbul;Ümraniye;Çakmak Mahallesi
Konut;86 m²;90 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;6.000.000;İstanbul;Bayrampaşa;Orta Mahallesi
Konut;145 m²;160 m²;3+2;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;2;15.000.000;İstanbul;Bahçelievler;Bahçelievler Mahallesi
Konut;120 m²;135 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;2.899.000;İstanbul;Esenyurt;Pınar Mahallesi
Konut;90 m²;95 m²;3+1;5-10;4;Kombi Doğalgaz;Boş;Hayır;1;2.980.000;İstanbul;Kağıthane;Şirintepe Mahallesi
Konut;125 m²;140 m²;3+1;21 Ve Üzeri;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;5.900.000;İstanbul;Bayrampaşa;Yenidoğan Mahallesi
Konut;80 m²;90 m²;2+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;7.250.000;İstanbul;Maltepe;İdealtepe Mahallesi
Konut;180 m²;190 m²;3+2;16-20;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;5.600.000;İstanbul;Sultangazi;Gazi Mahallesi
Konut;90 m²;100 m²;2+1;11-15;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;3.250.000;İstanbul;Küçükçekmece;Mehmet Akif Mahallesi
Konut;90 m²;110 m²;2+1;21 Ve Üzeri;9;Kombi Doğalgaz;Boş;Evet;1;2.500.000;İstanbul;Büyükçekmece;Ekinoba Mahallesi
Konut;1 m²;85 m²;2+1;16-20;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;3.120.000;İstanbul;Bahçelievler;Yenibosna Merkez Mahallesi
Konut;105 m²;110 m²;3+1;5-10;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;5.250.000;İstanbul;Bahçelievler;Cumhuriyet Mahallesi
Konut;160 m²;180 m²;4+2;5-10;5;Kombi Doğalgaz;Boş;Hayır;2;15.500.000;İstanbul;Maltepe;Feyzullah Mahallesi
Konut;1 m²;90 m²;2+1;11-15;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;4;4.300.000;İstanbul;Bahçelievler;Çobançeşme Mahallesi
Konut;75 m²;82 m²;1+1;4;5;Kombi Doğalgaz;Boş;Hayır;1;2.550.000;İstanbul;Sultangazi;İsmetpaşa Mahallesi
Konut;85 m²;95 m²;2+1;11-15;4;Kombi Doğalgaz;Boş;Hayır;1;3.100.000;İstanbul;Avcılar;Cihangir Mahallesi
Konut;96 m²;118 m²;3+1;0 (Yeni);5;Yerden Isıtma;Boş;Hayır;2;6.950.000;İstanbul;Pendik;Kurtköy Mahallesi
Konut;110 m²;120 m²;3+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;5.100.000;İstanbul;Bahçelievler;Şirinevler Mahallesi
Konut;65 m²;70 m²;1.5+1;21 Ve Üzeri;6;Kombi Doğalgaz;Boş;Hayır;1;1.850.000;İstanbul;Bayrampaşa;Kartaltepe Mahallesi
Konut;100 m²;110 m²;2+1;5-10;5;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;2.250.000;İstanbul;Sultangazi;Malkoçoğlu Mahallesi
Konut;210 m²;250 m²;4+2;5-10;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;2;6.425.000;İstanbul;Küçükçekmece;Cumhuriyet Mahallesi
Konut;130 m²;140 m²;3+1;21 Ve Üzeri;3;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.100.000;İstanbul;Bahçelievler;Çobançeşme Mahallesi
Konut;130 m²;150 m²;3+1;16-20;5;Kombi Doğalgaz;Boş;Hayır;1;4.450.000;İstanbul;Maltepe;Fındıklı Mahallesi
Konut;70 m²;80 m²;2+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;3.400.000;İstanbul;Avcılar;Denizköşkler Mahallesi
Konut;70 m²;80 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;3.200.000;İstanbul;Üsküdar;Murat Reis Mahallesi
Konut;85 m²;95 m²;2+1;5-10;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;4.200.000;İstanbul;Maltepe;Zümrütevler Mahallesi
Konut;100 m²;105 m²;2+1;16-20;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.989.000;İstanbul;Sultangazi;İsmetpaşa Mahallesi
Konut;106 m²;140 m²;3+1;0 (Yeni);11;Merkezi (Pay Ölçer);Boş;Hayır;2;16.250.000;İstanbul;Kadıköy;Kozyatağı Mahallesi
Konut;40 m²;56 m²;1+1;0 (Yeni);6;Merkezi (Pay Ölçer);Boş;Evet;1;4.800.000;İstanbul;Maltepe;Aydınevler Mahallesi
Konut;200 m²;220 m²;5+2;0 (Yeni);3;Kombi Doğalgaz;Boş;Hayır;3;9.250.000;İstanbul;Çekmeköy;Merkez Mahallesi
Konut;102 m²;142 m²;2+1;0 (Yeni);6;Merkezi (Pay Ölçer);Boş;Evet;2;8.000.000;İstanbul;Maltepe;Aydınevler Mahallesi
Konut;60 m²;70 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Boş;Hayır;1;1.315.000;İstanbul;Bahçelievler;Yenibosna Merkez Mahallesi
Konut;100 m²;115 m²;3+1;11-15;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;4.650.000;İstanbul;Üsküdar;Bulgurlu Mahallesi
Konut;65 m²;75 m²;1+1;4;10;Merkezi (Pay Ölçer);Kiracı Oturuyor;Evet;1;6.000.000;İstanbul;Sancaktepe;Abdurrahmangazi Mahallesi
Konut;93 m²;125 m²;2+1;0 (Yeni);6;Merkezi (Pay Ölçer);Boş;Hayır;2;9.850.000;İstanbul;Üsküdar;Çengelköy Mahallesi
Konut;150 m²;176 m²;3+1;5-10;30;Merkezi (Pay Ölçer);Mülk Sahibi Oturuyor;Evet;2;11.000.000;İstanbul;Başakşehir;Kayabaşı Mahallesi
Konut;90 m²;105 m²;3+1;0 (Yeni);6;Kombi Doğalgaz;Boş;Hayır;1;5.200.000;İstanbul;Pendik;Ahmet Yesevi Mahallesi
Konut;80 m²;90 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Boş;Evet;1;1.850.000;İstanbul;Bahçelievler;Yenibosna Merkez Mahallesi
Konut;90 m²;110 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.725.000;İstanbul;Bayrampaşa;Altıntepsi Mahallesi
Konut;122 m²;144 m²;2+1;21 Ve Üzeri;3;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.650.000;İstanbul;Bayrampaşa;Orta Mahallesi
Konut;90 m²;100 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.675.000;İstanbul;Sultangazi;Esentepe Mahallesi
Konut;90 m²;100 m²;2+1;0 (Yeni);6;Kombi Doğalgaz;Boş;Hayır;1;4.550.000;İstanbul;Sultangazi;Gazi Mahallesi
Konut;90 m²;100 m²;2+1;2;5;Kombi Doğalgaz;Boş;Hayır;1;3.650.000;İstanbul;Sultangazi;Gazi Mahallesi
Konut;95 m²;100 m²;1+1;11-15;3;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;3.900.000;İstanbul;Eyüpsultan;Karadolap Mahallesi
Konut;75 m²;85 m²;2+1;4;4;Kombi Doğalgaz;Boş;Hayır;1;3.850.000;İstanbul;Çekmeköy;Aydınlar Mahallesi
Konut;80 m²;90 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;2.950.000;İstanbul;Gaziosmanpaşa;Yıldıztabya Mahallesi
Konut;130 m²;145 m²;3+1;11-15;8;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Evet;2;4.085.000;İstanbul;Esenyurt;Piri Reis Mahallesi
Konut;100 m²;115 m²;2+1;5-10;5;Kombi Doğalgaz;Boş;Hayır;2;2.250.000;İstanbul;Esenyurt;Bağlarçeşme Mahallesi
Konut;160 m²;175 m²;4+2;0 (Yeni);3;Kombi Doğalgaz;Boş;Hayır;2;5.150.000;İstanbul;Başakşehir;Güvercintepe Mahallesi
Konut;125 m²;140 m²;3+1;21 Ve Üzeri;9;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;4.700.000;İstanbul;Kartal;Çavuşoğlu Mahallesi
Konut;65 m²;75 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Boş;Hayır;1;1.500.000;İstanbul;Tuzla;Aydıntepe Mahallesi
Konut;110 m²;170 m²;3.5+1;5-10;30;VRV;Kiracı Oturuyor;Evet;2;12.750.000;İstanbul;Maltepe;Cevizli Mahallesi
Konut;160 m²;185 m²;3+1;5-10;13;Kombi Doğalgaz;Boş;Evet;2;5.570.000;İstanbul;Beylikdüzü;Adnan Kahveci Mahallesi
Konut;100 m²;120 m²;2+1;1;4;Kombi Doğalgaz;Boş;Evet;2;4.150.000;İstanbul;Beylikdüzü;Marmara Mahallesi
Konut;130 m²;150 m²;3+1;0 (Yeni);4;Kombi Doğalgaz;Kiracı Oturuyor;Evet;1;4.249.999;İstanbul;Beylikdüzü;Adnan Kahveci Mahallesi
Konut;85 m²;90 m²;2+1;5-10;5;Kombi Doğalgaz;Boş;Hayır;1;2.640.000;İstanbul;Sultangazi;Gazi Mahallesi
Konut;140 m²;155 m²;4+1;16-20;10;Kombi Doğalgaz;Kiracı Oturuyor;Evet;2;4.880.000;İstanbul;Başakşehir;Başak Mahallesi
Konut;130 m²;140 m²;3+1;11-15;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;5.250.000;İstanbul;Sultangazi;Gazi Mahallesi
Konut;180 m²;200 m²;4+2;11-15;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;5.240.000;İstanbul;Sultangazi;Gazi Mahallesi
Konut;140 m²;147 m²;3+1;16-20;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;15.000.000;İstanbul;Beykoz;Acarlar Mahallesi
Konut;120 m²;130 m²;3+1;11-15;3;Kombi Doğalgaz;Boş;Hayır;1;4.250.000;İstanbul;Avcılar;Cihangir Mahallesi
Konut;55 m²;68 m²;1+1;5-10;4;Kombi Doğalgaz;Boş;Hayır;1;2.399.000;İstanbul;Çekmeköy;Aydınlar Mahallesi
Konut;60 m²;65 m²;1+1;21 Ve Üzeri;5;Kombi Doğalgaz;Boş;Hayır;1;1.590.000;İstanbul;Fatih;Mevlanakapı Mahallesi
Konut;85 m²;90 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Evet;2;4.550.000;İstanbul;Sultangazi;Sultançiftliği Mahallesi
Konut;72 m²;90 m²;2+1;5-10;8;Merkezi (Pay Ölçer);Kiracı Oturuyor;Evet;1;4.250.000;İstanbul;Ataşehir;Esatpaşa Mahallesi
Konut;145 m²;165 m²;4+1;0 (Yeni);9;Yerden Isıtma;Boş;Evet;2;8.500.000;İstanbul;Küçükçekmece;Halkalı Merkez Mahallesi
Konut;80 m²;81 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Boş;Hayır;1;1.365.000;İstanbul;Sultangazi;50. Yıl Mahallesi
Konut;80 m²;88 m²;2+1;4;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;3.875.000;İstanbul;Sancaktepe;Osmangazi Mahallesi
Konut;220 m²;240 m²;4+2;5-10;6;Kombi Doğalgaz;Boş;Hayır;2;11.850.000;İstanbul;Bayrampaşa;Kocatepe Mahallesi
Konut;130 m²;160 m²;3+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;2;4.700.000;İstanbul;Arnavutköy;Hadımköy Mahallesi
Konut;165 m²;185 m²;4+1;5-10;3;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;4;5.145.000;İstanbul;Küçükçekmece;Halkalı Merkez Mahallesi
Konut;80 m²;95 m²;2+1;4;2;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.350.000;İstanbul;Küçükçekmece;İnönü Mahallesi
Konut;85 m²;90 m²;2+1;21 Ve Üzeri;7;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;1.490.000;İstanbul;Küçükçekmece;Mehmet Akif Mahallesi
Konut;170 m²;180 m²;3+2;2;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;3.750.000;İstanbul;Başakşehir;Güvercintepe Mahallesi
