Türü;Net Metrekare;Brüt Metrekare;Oda Sayısı;Binanın Yaşı;Binanın Kat Sayısı;Isıtma Tipi;Kullanım Durumu;Site İçerisinde;Banyo Sayısı;Fiyat;İl;İlçe;Mahalle
Konut;100 m²;110 m²;3+1;21 Ve Üzeri;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;3.400.000;İstanbul;Bayrampaşa;Vatan Mahallesi
Konut;60 m²;70 m²;2+1;21 Ve Üzeri;3;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;1.320.000;İstanbul;Esenler;Turgut Reis Mahallesi
Konut;90 m²;100 m²;1+1;4;6;Kombi Doğalgaz;Boş;Hayır;1;1.780.000;İstanbul;Beylikdüzü;Cumhuriyet Mahallesi
Konut;100 m²;110 m²;2+1;11-15;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;3.200.000;İstanbul;Esenyurt;Mehmet Akif Ersoy Mahallesi
Konut;120 m²;130 m²;3+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;2;6.650.000;İstanbul;Avcılar;Merkez Mahallesi
Konut;90 m²;100 m²;2+1;4;4;Kombi Doğalgaz;Boş;Hayır;1;1.800.000;İstanbul;Beylikdüzü;Cumhuriyet Mahallesi
Konut;78 m²;90 m²;2+1;5-10;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;2;3.625.000;İstanbul;Bahçelievler;Soğanlı Mahallesi
Konut;100 m²;115 m²;3+1;21 Ve Üzeri;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.825.000;İstanbul;Bahçelievler;Siyavuşpaşa Mahallesi
Konut;80 m²;100 m²;2+1;0 (Yeni);4;Merkezi Doğalgaz;Boş;Hayır;1;5.750.000;İstanbul;Maltepe;Altıntepe Mahallesi
Konut;60 m²;70 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;4.450.000;İstanbul;Bayrampaşa;Vatan Mahallesi
Konut;190 m²;200 m²;3+1;11-15;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Evet;2;8.650.000;İstanbul;Büyükçekmece;Cumhuriyet Mahallesi
Konut;70 m²;75 m²;2+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;5.900.000;İstanbul;Üsküdar;Aziz Mahmut Hüdayi Mahallesi
Konut;85 m²;120 m²;2+1;4;24;Merkezi Doğalgaz;Kiracı Oturuyor;Evet;1;5.500.000;İstanbul;Avcılar;Tahtakale Mahallesi
Konut;1 m²;80 m²;2+1;11-15;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.900.000;İstanbul;Bahçelievler;Yenibosna Merkez Mahallesi
Konut;100 m²;110 m²;2+1;4;4;Kombi Doğalgaz;Boş;Hayır;1;2.265.000;İstanbul;Beylikdüzü;Cumhuriyet Mahallesi
Konut;353 m²;354 m²;7+3;21 Ve Üzeri;2;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;3;11.250.000;İstanbul;Tuzla;Akfırat Mahallesi
Konut;80 m²;90 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.280.000;İstanbul;Bahçelievler;Zafer Mahallesi
Konut;75 m²;85 m²;2+1;11-15;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;3.300.000;İstanbul;Bahçelievler;Fevzi Çakmak Mahallesi
Konut;150 m²;160 m²;5+1;5-10;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;4.900.000;İstanbul;Bahçelievler;Zafer Mahallesi
Konut;60 m²;75 m²;2+1;11-15;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.000.000;İstanbul;Silivri;Alibey Mahallesi
Konut;56 m²;65 m²;2+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;5.950.000;İstanbul;Ümraniye;Yukarı Dudullu Mahallesi
Konut;90 m²;95 m²;2+1;11-15;5;Kombi Doğalgaz;Boş;Hayır;1;2.750.000;İstanbul;Sultangazi;Sultançiftliği Mahallesi
Konut;1 m²;90 m²;2+1;11-15;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;4;4.300.000;İstanbul;Bahçelievler;Yenibosna Merkez Mahallesi
Konut;65 m²;80 m²;2+1;16-20;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;3.120.000;İstanbul;Bahçelievler;Yenibosna Merkez Mahallesi
Konut;60 m²;75 m²;2+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;2.850.000;İstanbul;Bahçelievler;Yenibosna Merkez Mahallesi
Konut;1 m²;80 m²;2+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;3.250.000;İstanbul;Bahçelievler;Zafer Mahallesi
Konut;70 m²;85 m²;2+1;16-20;5;Kombi Doğalgaz;Boş;Hayır;1;2.670.000;İstanbul;Bahçelievler;Zafer Mahallesi
Konut;105 m²;115 m²;2+1;0 (Yeni);4;Merkezi Doğalgaz;Boş;Hayır;1;2.899.900;İstanbul;Beylikdüzü;Yakuplu Mahallesi
Konut;65 m²;90 m²;2+1;5-10;8;Kombi Doğalgaz;Boş;Hayır;1;13.750.000;İstanbul;Kadıköy;Erenköy Mahallesi
Konut;70 m²;80 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;6.500.000;İstanbul;Kadıköy;Caferağa Mahallesi
Konut;240 m²;278 m²;4+1;5-10;7;Merkezi Doğalgaz;Mülk Sahibi Oturuyor;Evet;3;12.700.000;İstanbul;Sultanbeyli;Adil Mahallesi
Konut;100 m²;126 m²;2+1;5-10;10;Merkezi Doğalgaz;Kiracı Oturuyor;Evet;2;9.300.000;İstanbul;Sancaktepe;Abdurrahmangazi Mahallesi
Konut;130 m²;160 m²;3+1;21 Ve Üzeri;6;Merkezi Doğalgaz;Boş;Hayır;2;17.450.000;İstanbul;Kadıköy;Suadiye Mahallesi
Konut;85 m²;100 m²;2+1;5-10;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;4.400.000;İstanbul;Pendik;Şeyhli Mahallesi
Konut;80 m²;95 m²;2+1;21 Ve Üzeri;5;Merkezi Doğalgaz;Kiracı Oturuyor;Hayır;1;6.750.000;İstanbul;Şişli;Fulya Mahallesi
Konut;86 m²;96 m²;2+1;5-10;10;Merkezi Doğalgaz;Boş;Evet;1;4.950.000;İstanbul;Çekmeköy;Taşdelen Mahallesi
Konut;75 m²;80 m²;2+1;21 Ve Üzeri;3;Kombi Doğalgaz;Boş;Hayır;1;2.600.000;İstanbul;Fatih;Seyyid Ömer Mahallesi
Konut;120 m²;125 m²;3+1;21 Ve Üzeri;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;4.180.000;İstanbul;Fatih;Seyyid Ömer Mahallesi
Konut;225 m²;310 m²;5+2;5-10;12;Merkezi (Pay Ölçer);Boş;Hayır;3;37.590.000;İstanbul;Kadıköy;Bostancı Mahallesi
Konut;150 m²;165 m²;3+1;5-10;6;Kombi Doğalgaz;Boş;Hayır;2;5.850.000;İstanbul;Kağıthane;Hürriyet Mahallesi
Konut;74 m²;95 m²;2+1;11-15;5;Merkezi (Pay Ölçer);Mülk Sahibi Oturuyor;Evet;1;3.490.000;İstanbul;Küçükçekmece;Halkalı Merkez Mahallesi
Konut;165 m²;175 m²;3+2;5-10;4;Kombi Doğalgaz;Boş;Hayır;2;5.230.000;İstanbul;Sultangazi;Gazi Mahallesi
Konut;130 m²;145 m²;3+1;21 Ve Üzeri;4;Kombi Doğalgaz;Boş;Hayır;1;6.990.000;İstanbul;Maltepe;Altıntepe Mahallesi
Konut;85 m²;95 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;3.750.000;İstanbul;Sultangazi;Zübeyde Hanım Mahallesi
Konut;117 m²;127 m²;2+1;21 Ve Üzeri;10;Merkezi Doğalgaz;Kiracı Oturuyor;Evet;2;4.250.000;İstanbul;Büyükçekmece;Ekinoba Mahallesi
Konut;145 m²;150 m²;3+1;11-15;4;Kombi Doğalgaz;Kiracı Oturuyor;Evet;2;5.500.000;İstanbul;Büyükçekmece;Mimar Sinan Merkez Mahallesi
Konut;100 m²;135 m²;2.5+1;5-10;3;Kombi Doğalgaz;Boş;Evet;2;6.950.000;İstanbul;Tuzla;Tepeören Mahallesi
Konut;145 m²;155 m²;3+1;5-10;5;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;2;5.600.000;İstanbul;Beylikdüzü;Kavaklı Mahallesi
Konut;110 m²;120 m²;3+1;4;4;Kombi Doğalgaz;Boş;Evet;1;4.325.000;İstanbul;Başakşehir;Güvercintepe Mahallesi
Konut;70 m²;80 m²;2+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;3.099.000;İstanbul;Bahçelievler;Cumhuriyet Mahallesi
Konut;32 m²;47 m²;1+1;4;11;Yerden Isıtma;Boş;Hayır;1;3.987.000;İstanbul;Ümraniye;Yukarı Dudullu Mahallesi
Konut;80 m²;122 m²;2+1;5-10;8;Merkezi (Pay Ölçer);Kiracı Oturuyor;Hayır;1;6.749.000;İstanbul;Sancaktepe;Emek Mahallesi
Konut;75 m²;90 m²;2+1;4;5;Merkezi (Pay Ölçer);Boş;Evet;1;5.200.000;İstanbul;Tuzla;İstasyon Mahallesi
Konut;70 m²;80 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;3.200.000;İstanbul;Üsküdar;Murat Reis Mahallesi
Konut;80 m²;118 m²;2+1;0 (Yeni);20;Merkezi Doğalgaz;Boş;Hayır;2;6.500.000;İstanbul;Bağcılar;15 Temmuz Mahallesi
Konut;70 m²;80 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;3.200.000;İstanbul;Üsküdar;Murat Reis Mahallesi
Konut;80 m²;118 m²;2+1;0 (Yeni);20;Merkezi Doğalgaz;Boş;Hayır;2;6.500.000;İstanbul;Bağcılar;15 Temmuz Mahallesi
Konut;70 m²;80 m²;3+1;11-15;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.430.000;İstanbul;Esenler;Kemer Mahallesi
Konut;75 m²;80 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Boş;Hayır;2;1.795.000;İstanbul;Sultangazi;75. Yıl Mahallesi
Konut;180 m²;210 m²;4+2;21 Ve Üzeri;2;Merkezi Doğalgaz;Kiracı Oturuyor;Evet;3;53.500.000;İstanbul;Kadıköy;Feneryolu Mahallesi
Konut;90 m²;95 m²;2+1;5-10;5;Kombi Doğalgaz;Boş;Hayır;1;2.300.000;İstanbul;Sultangazi;Esentepe Mahallesi
